,course,learning objectives,keywords_str
177,Risk Analysis to support safe trade and FMD,"Identify and evaluate the risk management options, Best practices: monitoring and evaluation, feasibility) to be evaluated by trainers through country feedback on the discussion forum","Identify, evaluate, risk, management, options, ,, Best, practices, :, monitoring, evaluation, ,, feasibility, ), evaluated, trainers, country, feedback, discussion, forum"
178,Risk Analysis to support safe trade and FMD,Describe the role of risk analysis in a veterinary services and prepare a presentation for the closing live session to be evaluated by trainers ,"Describe, role, risk, analysis, veterinary, services, prepare, presentation, closing, live, session, evaluated, trainers"
179,Risk Analysis to support safe trade and FMD,"Describe the principles of Risk management (Who is responsible?, Risk evaluation: criteria to determine if risk management options are justified, ","Describe, principles, Risk, management, (, Who, responsible, ?, ,, Risk, evaluation, :, criteria, determine, risk, management, options, justified, ,"
180,Risk Analysis to support safe trade and FMD,Describe the following principles of Risk communication and prepare a country communication plan to be evaluated by trainers on the discussion forum: Who is responsible? What is the target audience? Appropriate content and messafges; Identify potential barriers to effective risk communication; develop communication plan),"Describe, following, principles, Risk, communication, prepare, country, communication, plan, evaluated, trainers, discussion, forum, :, Who, responsible, ?, What, target, audience, ?, Appropriate, content, messafges, ;, Identify, potential, barriers, effective, risk, communication, ;, develop, communication, plan, )"
181,Risk Mapping CIRAD,Understand the principles of qualitative risk assessment;,"Understand, principles, qualitative, risk, assessment, ;"
182,Risk Mapping CIRAD,Know the principles of GIS (data and spatial queries) using Q-GIS;,"Know, principles, GIS, (, data, spatial, queries, ), using, Q-GIS, ;"
183,Risk Mapping CIRAD,Know the basic network measures and being able to estimate centrality measures using R;,"Know, basic, network, measures, able, estimate, centrality, measures, using, R, ;"
184,Risk Mapping CIRAD,"Implement the newly acquired knowledge, tools and skills into a national qualitative risk estimation of the risk of introduction and risk of spread.","Implement, newly, acquired, knowledge, ,, tools, skills, national, qualitative, risk, estimation, risk, introduction, risk, spread, ."
185,Risk Mapping CIRAD,Being able to create a database for network analysis and interpret the results;,"Being, able, create, database, network, analysis, interpret, results, ;"
186,Risk Mapping CIRAD,Be comfortable with the use of the mapMCDA tool for risk mapping;,"Be, comfortable, use, mapMCDA, tool, risk, mapping, ;"
187,Risk Mapping CIRAD NWC Africa,Understand the principles of qualitative risk assessment;,"Understand, principles, qualitative, risk, assessment, ;"
188,Risk Mapping CIRAD NWC Africa,Know the principles of GIS (data and spatial queries) using Q-GIS;,"Know, principles, GIS, (, data, spatial, queries, ), using, Q-GIS, ;"
189,Risk Mapping CIRAD NWC Africa,Know the basic network measures and being able to estimate centrality measures using R;,"Know, basic, network, measures, able, estimate, centrality, measures, using, R, ;"
190,Risk Mapping CIRAD NWC Africa,"Implement the newly acquired knowledge, tools and skills into a national qualitative risk estimation of the risk of introduction and risk of spread.","Implement, newly, acquired, knowledge, ,, tools, skills, national, qualitative, risk, estimation, risk, introduction, risk, spread, ."
191,Risk Mapping CIRAD NWC Africa,Being able to use Lizmap and integrate data,"Being, able, use, Lizmap, integrate, data"
192,Risk Mapping CIRAD NWC Africa,Being able to create a database for network analysis and interpret the results;,"Being, able, create, database, network, analysis, interpret, results, ;"
193,Risk Mapping CIRAD NWC Africa,Being able to adapt conventional monitoring to the risk in connection with the maps developed,"Being, able, adapt, conventional, monitoring, risk, connection, maps, developed"
194,Risk Mapping CIRAD NWC Africa,Be comfortable with the use of the map MCDA tool for risk mapping;,"Be, comfortable, use, map, MCDA, tool, risk, mapping, ;"
195,RVF Entomological Surveillance Libya,"Understand the epidemiological role of mosquito vectors, in the framework of the epidemiology of Rift Valley Fever and other arboviruses and define the possible aims of entomological monitoring and surveillance","Understand, epidemiological, role, mosquito, vectors, ,, framework, epidemiology, Rift, Valley, Fever, arboviruses, define, possible, aims, entomological, monitoring, surveillance"
196,RVF Entomological Surveillance Libya,"Carry out entomological fieldwork using the most appropriate collection methods, identifying the collection sites and managing samples adequately","Carry, entomological, fieldwork, using, appropriate, collection, methods, ,, identifying, collection, sites, managing, samples, adequately"
197,RVF Entomological Surveillance Libya,Analyze mosquito collections and identify Rift Valley Fever vector species,"Analyze, mosquito, collections, identify, Rift, Valley, Fever, vector, species"
198,Simex Albania induction,"List and describe the activities to be undertaken during the investigation of a suspicion on the farm, following the instructions of the Guidance on “Investigation of a suspicion on the farm” ","List, describe, activities, undertaken, investigation, suspicion, farm, ,, following, instructions, Guidance, “, Investigation, suspicion, farm, ”"
199,Simex Albania induction,"Identify the steps required for clinical examination and sample collection from the infected animals, following the instructions provided in the EuFMD clinical examination factsheet. ","Identify, steps, required, clinical, examination, sample, collection, infected, animals, ,, following, instructions, provided, EuFMD, clinical, examination, factsheet, ."
200,Simex Albania induction,"Identify the steps for packaging, handling and transporting the samples from the field to the laboratory by following the instructions of the EuFMD guide on FMD – Good sampling technique and packing in the field. ","Identify, steps, packaging, ,, handling, transporting, samples, field, laboratory, following, instructions, EuFMD, guide, FMD, –, Good, sampling, technique, packing, field, ."
201,Simex Albania induction,"Explain why constructing a timeline is useful and describe how it should be interpreted, following the instructions on the presentation provided.","Explain, constructing, timeline, useful, describe, interpreted, ,, following, instructions, presentation, provided, ."
202,Simex Albania induction,"Explain the importance and the impact an FMD outbreak would have in free countries, following the video provided. ","Explain, importance, impact, FMD, outbreak, would, free, countries, ,, following, video, provided, ."
203,Simex Albania induction,Explain biosecurity measures when visiting a farm with actual or suspected FMD case by following the three main principles and other instructions highlighted in the biosecurity video. ,"Explain, biosecurity, measures, visiting, farm, actual, suspected, FMD, case, following, three, main, principles, instructions, highlighted, biosecurity, video, ."
204,Simex Albania induction,"Estimate the age of FMD lesions by evaluating pictures of infected animals, following the instructions provided on the video on lesion aging","Estimate, age, FMD, lesions, evaluating, pictures, infected, animals, ,, following, instructions, provided, video, lesion, aging"
205,Simex Albania induction,Describe the steps to be followed during an epidemiological enquiry in the farm as described in the Guidance on Epidemiological enquiry ,"Describe, steps, followed, epidemiological, enquiry, farm, described, Guidance, Epidemiological, enquiry"
206,Simex Montenegro,"Explain the importance of simulation exercises for improving emergency preparedness, and the purposes for which they can be used","Explain, importance, simulation, exercises, improving, emergency, preparedness, ,, purposes, used"
207,Simex Montenegro,Explain the importance of setting the objectives before moving to the planning phase and develop a concept note for a simulation exercise,"Explain, importance, setting, objectives, moving, planning, phase, develop, concept, note, simulation, exercise"
208,Simex Montenegro,Explain how to conduct a small tabletop exercise or drill,"Explain, conduct, small, tabletop, exercise, drill"
209,Simex Montenegro,Draft an evaluation plan for a simulation exercise,"Draft, evaluation, plan, simulation, exercise"
210,Simex Montenegro,"Develop a needs-based, multi-year exercise programme using a progressive approach","Develop, needs-based, ,, multi-year, exercise, programme, using, progressive, approach"
211,Simex Montenegro,"Describe the tasks to be carried out by the different roles in any type of simulation exercise and assume an active role as director, facilitator, evaluator or player during the conduct of one type of simulation exercise (table-top, drill, functional) ","Describe, tasks, carried, different, roles, type, simulation, exercise, assume, active, role, director, ,, facilitator, ,, evaluator, player, conduct, one, type, simulation, exercise, (, table-top, ,, drill, ,, functional, )"
212,Simex outbreak management,Explain the pathogenesis of FMD.,"Explain, pathogenesis, FMD, ."
213,Simex outbreak management,Explain how to take correct diagnostic samples to enable laboratory confirmation of an FMD diagnosis;,"Explain, take, correct, diagnostic, samples, enable, laboratory, confirmation, FMD, diagnosis, ;"
